Jan,M,1332
Per,M,1090
Bjørn,M,981
Geir,M,761
Kjell,M,760
Svein,M,690
Terje,M,651
Knut,M,622
Morten,M,619
Arne,M,532
Trond,M,524
Rune,M,519
Tor,M,516
Ole,M,500
Tom,M,488
Odd,M,468
Hans,M,426
Tore,M,420
John,M,392
Lars,M,381
Rolf,M,364
Helge,M,340
Leif,M,327
Stein,M,315
Gunnar,M,298
Harald,M,298
Nils,M,291
Arild,M,289
Jon,M,284
Erik,M,277
Steinar,M,269
Olav,M,268
Dag,M,261
Frank,M,257
Øyvind,M,242
Roy,M,241
Magne,M,234
Vidar,M,229
Roar,M,211
Einar,M,209
Roger,M,208
Pål,M,206
Ove,M,202
Frode,M,193
Kåre,M,193
Egil,M,184
Ivar,M,183
Øystein,M,183
Stig,M,175
Alf,M,160
Finn,M,156
Jørn,M,156
Ola,M,148
Tommy,M,142
Atle,M,139
Johnny,M,139
Thor,M,135
Torbjørn,M,135
Inge,M,133
Petter,M,133
Karl,M,131
Jarle,M,130
Kurt,M,129
Åge,M,129
Arve,M,127
Sverre,M,126
Arvid,M,122
Jens,M,121
Asbjørn,M,120
Reidar,M,120
Oddvar,M,117
Anders,M,113
Jostein,M,108
Kai,M,108
Espen,M,107
Håkon,M,107
Erling,M,104
Eivind,M,97
Ulf,M,97
Kjetil,M,96
Øivind,M,93
Arnfinn,M,89
Ketil,M,89
Bernt,M,88
Ragnar,M,88
Paul,M,87
Bård,M,86
Johan,M,86
Arnt,M,85
Sven,M,85
Bjarne,M,82
Runar,M,81
Henning,M,80
Robert,M,76
Willy,M,76
Dagfinn,M,72
Jonny,M,72
Ståle,M,72
Trygve,M,70
Tormod,M,64
Mohammad,M,63
Audun,M,62
Peter,M,62
Oddbjørn,M,61
Roald,M,61
Thomas,M,61
Martin,M,60
Lasse,M,59
Torgeir,M,59
Bent,M,58
Sigurd,M,58
Magnar,M,57
Kristian,M,56
Bjørnar,M,54
Harry,M,54
Sigmund,M,54
Andrzej,M,53
Birger,M,53
Hallgeir,M,51
Håvard,M,51
Johannes,M,51
Torstein,M,51
Bengt,M,49
Jørgen,M,49
Otto,M,49
Eirik,M,48
Halvor,M,47
Even,M,46
Fred,M,46
Truls,M,46
Asle,M,45
Andreas,M,44
Christian,M,44
Sigbjørn,M,44
Ronny,M,42
Ernst,M,41
Olaf,M,41
Viggo,M,41
Kenneth,M,40
David,M,38
Bjarte,M,36
Carl,M,36
Ali,M,34
Jarl,M,34
Torleif,M,34
Ingar,M,33
Oddmund,M,33
Ottar,M,33
Ronald,M,33
Arnstein,M,32
Asgeir,M,32
Endre,M,32
Henrik,M,32
Yngve,M,31
Sten,M,30
Børge,M,29
Hugo,M,29
Magnus,M,29
Michael,M,29
Oddgeir,M,29
Peder,M,29
Børre,M,28
Cato,M,28
Gisle,M,28
Marek,M,28
Karsten,M,27
Kim,M,26
Krzysztof,M,26
Thore,M,26
Aage,M,25
Are,M,25
Freddy,M,25
Idar,M,25
Jack,M,25
Miroslaw,M,25
Richard,M,25
Thorbjørn,M,25
Halvard,M,24
Henry,M,24
Leiv,M,24
Stanislaw,M,24
Zbigniew,M,24
Ingvar,M,23
Jim,M,23
Joar,M,23
Svenn,M,23
Jerzy,M,22
Dan,M,21
Erland,M,21
Georg,M,21
Jo,M,21
Kolbjørn,M,21
Glenn,M,20
Ivan,M,20
Tadeusz,M,20
Thorleif,M,20
Yngvar,M,20
Ahmed,M,19
Janusz,M,19
Jozef,M,19
Raymond,M,19
Svend,M,19
Wieslaw,M,19
Agnar,M,18
Gaute,M,18
Gustav,M,18
Henryk,M,18
Klaus,M,18
Ryszard,M,18
Edvin,M,17
Eilif,M,17
Haakon,M,17
Jan-Erik,M,17
Snorre,M,17
Sveinung,M,17
Tony,M,17
Torfinn,M,17
Bo,M,16
Claus,M,16
Mohamed,M,16
Sigve,M,16
Sjur,M,16
Stephen,M,16
Torger,M,16
Werner,M,16
Øistein,M,16
Andre,M,15
Anton,M,15
Arthur,M,15
Brede,M,15
Fredrik,M,15
Hassan,M,15
Viktor,M,15
Walter,M,15
Aksel,M,14
Alfred,M,14
Arnold,M,14
Charles,M,14
Edgar,M,14
Guttorm,M,14
Kjartan,M,14
Sindre,M,14
Sture,M,14
Victor,M,14
William,M,14
Åsmund,M,14
Arnulf,M,13
Daniel,M,13
Edvard,M,13
Hermod,M,13
Kazimierz,M,13
Malvin,M,13
Mats,M,13
