Thomas,M,679
Lars,M,595
Jan,M,545
Stian,M,504
Morten,M,478
Bjørn,M,462
Anders,M,430
Frode,M,427
Rune,M,409
Ole,M,379
Espen,M,370
Kenneth,M,352
Per,M,352
Geir,M,351
Kjetil,M,343
Christian,M,341
Trond,M,323
Tor,M,316
Tom,M,313
Tommy,M,311
Øyvind,M,303
Hans,M,254
Knut,M,252
Erik,M,251
Kristian,M,250
Andreas,M,246
Robert,M,239
Jon,M,229
Øystein,M,228
Terje,M,224
John,M,217
Stig,M,215
Ronny,M,214
Roger,M,213
Martin,M,212
Pål,M,209
Svein,M,207
Håvard,M,203
Kim,M,200
Daniel,M,198
Marius,M,197
Tore,M,191
Kjell,M,177
Vidar,M,175
Eirik,M,166
Frank,M,163
Dag,M,154
Fredrik,M,152
Arne,M,145
Henning,M,136
Stein,M,135
Tomasz,M,135
Ørjan,M,135
Håkon,M,133
Petter,M,131
Vegard,M,131
Roy,M,130
Henrik,M,129
Jørn,M,128
Nils,M,128
Magnus,M,125
Marcin,M,124
Andre,M,123
Jørgen,M,122
Atle,M,120
Glenn,M,118
Steinar,M,118
Alexander,M,115
David,M,115
Kai,M,114
Erlend,M,111
Torbjørn,M,109
Piotr,M,108
Arild,M,107
Raymond,M,107
Helge,M,106
Mariusz,M,106
Odd,M,106
Leif,M,99
Rolf,M,99
Ståle,M,98
Harald,M,96
Jens,M,95
Eivind,M,92
Tomas,M,92
Roar,M,91
Lasse,M,90
Jarle,M,89
Johan,M,89
Pawel,M,89
Krzysztof,M,87
Grzegorz,M,86
Rafal,M,84
Ola,M,83
Bård,M,82
Jostein,M,81
Audun,M,79
Einar,M,79
Olav,M,78
Magne,M,77
Bjørnar,M,76
Karl,M,76
Christer,M,74
Adam,M,70
Alf,M,70
Cato,M,69
Johnny,M,69
Richard,M,69
Jonas,M,67
Stefan,M,67
Sebastian,M,66
Michael,M,65
Torgeir,M,65
Gunnar,M,64
Thor,M,63
Michal,M,61
Ove,M,61
Sven,M,59
Are,M,58
Dan,M,58
Paul,M,58
Andrzej,M,57
Carl,M,57
Even,M,57
Kent,M,57
Peter,M,57
Joakim,M,56
Arnt,M,55
Artur,M,55
Bjarte,M,55
Dariusz,M,55
Endre,M,54
Joachim,M,54
Mads,M,54
Mohamed,M,54
Runar,M,54
Jacek,M,53
Mohammad,M,52
Yngve,M,52
Inge,M,51
Ivar,M,51
Sigurd,M,51
Sverre,M,51
Jim,M,50
Marek,M,50
Torstein,M,50
Jaroslaw,M,49
Sindre,M,49
Arve,M,48
Egil,M,48
Ali,M,47
Ketil,M,47
Kristoffer,M,47
Przemyslaw,M,47
Ahmed,M,46
Bernt,M,45
Kay,M,45
Ken,M,45
Asbjørn,M,44
Sveinung,M,44
Børge,M,43
Simen,M,43
Slawomir,M,43
Steffen,M,43
Tony,M,43
Jo,M,42
Freddy,M,41
Mats,M,41
Ivan,M,40
Truls,M,40
Bjarne,M,39
Robin,M,39
Christopher,M,38
Erling,M,38
Gøran,M,38
Ragnar,M,38
Johannes,M,37
Amund,M,36
Finn,M,36
Kjartan,M,36
Kurt,M,36
Tormod,M,36
Mohammed,M,35
Vegar,M,35
Ahmad,M,34
Gaute,M,34
Mikael,M,34
Sondre,M,34
Trygve,M,34
Wojciech,M,34
Darius,M,33
Kåre,M,33
Maciej,M,33
Reidar,M,33
Remi,M,33
Aleksander,M,32
Bent,M,32
Emil,M,31
Gisle,M,31
Ruben,M,31
Simon,M,31
Åge,M,31
Bengt,M,30
Asle,M,29
Haakon,M,29
Nerijus,M,29
Sten,M,29
Arvid,M,28
Oddbjørn,M,28
Åsmund,M,28
Juan,M,27
Preben,M,27
Sigbjørn,M,26
Tarjei,M,26
Kevin,M,25
Roman,M,25
Sigmund,M,25
Chris,M,24
Christoffer,M,24
Halvor,M,24
Ibrahim,M,24
Jose,M,24
Markus,M,24
Arkadiusz,M,23
Hallgeir,M,23
Jonny,M,23
Lukasz,M,23
Mustafa,M,23
Benjamin,M,22
Hugo,M,22
Joar,M,22
Konrad,M,22
Mindaugas,M,22
Radoslaw,M,22
Ingvar,M,21
Rudi,M,21
Adrian,M,20
Arnstein,M,20
Aslak,M,20
Ingar,M,20
Jøran,M,20
Mark,M,20
Oddvar,M,20
Omar,M,20
Sjur,M,20
Stephen,M,20
Søren,M,20
Thorbjørn,M,20
Viggo,M,20
William,M,20
Øivind,M,20
Arnfinn,M,19
Håvar,M,19
Jimmy,M,19
Krister,M,19
Leszek,M,19
Peder,M,19
Stephan,M,19
Allan,M,18
Arunas,M,18
Gard,M,18
Hassan,M,18
Idar,M,18
Morgan,M,18
Nicolai,M,18
